Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:45:35.032000,VER,33,,1.0,2.0,,,,0 days 00:00:36.270000,0 days 00:00:24.888000,,0 days 00:45:10.213000,0 days 00:45:35.185000,297.0,266.0,250.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:44:02.355000,2021-07-17 15:33:42.187,12,1.0,False,,False,False
0 days 00:47:05.655000,VER,33,0 days 00:01:30.623000,2.0,2.0,,,0 days 00:00:28.777000,0 days 00:00:36.738000,0 days 00:00:25.108000,0 days 00:46:03.835000,0 days 00:46:40.573000,0 days 00:47:05.681000,292.0,265.0,247.0,297.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:45:35.032000,2021-07-17 15:35:14.864,1,1.0,False,,False,True
0 days 00:48:36.079000,VER,33,0 days 00:01:30.424000,3.0,2.0,,,0 days 00:00:28.811000,0 days 00:00:36.754000,0 days 00:00:24.859000,0 days 00:47:34.492000,0 days 00:48:11.246000,0 days 00:48:36.105000,290.0,264.0,249.0,297.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:47:05.655000,2021-07-17 15:36:45.487,1,1.0,False,,False,True
0 days 00:50:06.436000,VER,33,0 days 00:01:30.357000,4.0,2.0,,,0 days 00:00:28.846000,0 days 00:00:36.769000,0 days 00:00:24.742000,0 days 00:49:04.951000,0 days 00:49:41.720000,0 days 00:50:06.462000,286.0,264.0,250.0,299.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:48:36.079000,2021-07-17 15:38:15.911,1,1.0,False,,False,True
0 days 00:51:36.914000,VER,33,0 days 00:01:30.478000,5.0,2.0,,,0 days 00:00:28.812000,0 days 00:00:36.739000,0 days 00:00:24.927000,0 days 00:50:35.274000,0 days 00:51:12.013000,0 days 00:51:36.940000,292.0,265.0,248.0,299.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:50:06.436000,2021-07-17 15:39:46.268,1,1.0,False,,False,True
0 days 00:53:07.113000,VER,33,0 days 00:01:30.199000,6.0,2.0,,,0 days 00:00:28.664000,0 days 00:00:36.591000,0 days 00:00:24.944000,0 days 00:52:05.604000,0 days 00:52:42.195000,0 days 00:53:07.139000,,265.0,249.0,299.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:51:36.914000,2021-07-17 15:41:16.746,1,1.0,False,,False,True
0 days 00:54:37.453000,VER,33,0 days 00:01:30.340000,7.0,2.0,,,0 days 00:00:28.720000,0 days 00:00:36.827000,0 days 00:00:24.793000,0 days 00:53:35.859000,0 days 00:54:12.686000,0 days 00:54:37.479000,,265.0,249.0,298.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:53:07.113000,2021-07-17 15:42:46.945,1,1.0,False,,False,True
0 days 00:56:07.643000,VER,33,0 days 00:01:30.190000,8.0,2.0,,,0 days 00:00:28.759000,0 days 00:00:36.724000,0 days 00:00:24.707000,0 days 00:55:06.238000,0 days 00:55:42.962000,0 days 00:56:07.669000,291.0,265.0,250.0,298.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:54:37.453000,2021-07-17 15:44:17.285,1,1.0,False,,False,True
0 days 00:57:38.012000,VER,33,0 days 00:01:30.369000,9.0,2.0,,,0 days 00:00:28.739000,0 days 00:00:36.693000,0 days 00:00:24.937000,0 days 00:56:36.408000,0 days 00:57:13.101000,0 days 00:57:38.038000,292.0,267.0,249.0,298.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:56:07.643000,2021-07-17 15:45:47.475,1,1.0,False,,False,True
0 days 00:59:08.405000,VER,33,0 days 00:01:30.393000,10.0,2.0,,,0 days 00:00:28.701000,0 days 00:00:36.776000,0 days 00:00:24.916000,0 days 00:58:06.739000,0 days 00:58:43.515000,0 days 00:59:08.431000,291.0,265.0,249.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:57:38.012000,2021-07-17 15:47:17.844,1,1.0,False,,False,True
0 days 01:00:38.598000,VER,33,0 days 00:01:30.193000,11.0,2.0,,,0 days 00:00:28.649000,0 days 00:00:36.652000,0 days 00:00:24.892000,0 days 00:59:37.080000,0 days 01:00:13.732000,0 days 01:00:38.624000,292.0,266.0,251.0,298.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 00:59:08.405000,2021-07-17 15:48:48.237,1,1.0,False,,False,True
0 days 01:02:08.799000,VER,33,0 days 00:01:30.201000,12.0,2.0,,,0 days 00:00:28.643000,0 days 00:00:36.707000,0 days 00:00:24.851000,0 days 01:01:07.267000,0 days 01:01:43.974000,0 days 01:02:08.825000,291.0,265.0,250.0,297.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:00:38.598000,2021-07-17 15:50:18.430,1,1.0,False,,False,True
0 days 01:03:38.848000,VER,33,0 days 00:01:30.049000,13.0,2.0,,,0 days 00:00:28.713000,0 days 00:00:36.492000,0 days 00:00:24.844000,0 days 01:02:37.538000,0 days 01:03:14.030000,0 days 01:03:38.874000,292.0,267.0,250.0,299.0,True,MEDIUM,13.0,True,Red Bull Racing,0 days 01:02:08.799000,2021-07-17 15:51:48.631,1,1.0,False,,False,True
0 days 01:05:08.861000,VER,33,0 days 00:01:30.013000,14.0,2.0,,,0 days 00:00:28.705000,0 days 00:00:36.535000,0 days 00:00:24.773000,0 days 01:04:07.579000,0 days 01:04:44.114000,0 days 01:05:08.887000,291.0,267.0,251.0,298.0,True,MEDIUM,14.0,True,Red Bull Racing,0 days 01:03:38.848000,2021-07-17 15:53:18.680,1,1.0,False,,False,True
0 days 01:06:39.337000,VER,33,0 days 00:01:30.476000,15.0,2.0,,,0 days 00:00:28.731000,0 days 00:00:36.686000,0 days 00:00:25.059000,0 days 01:05:37.618000,0 days 01:06:14.304000,0 days 01:06:39.363000,,266.0,251.0,296.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:05:08.861000,2021-07-17 15:54:48.693,1,1.0,False,,False,True
0 days 01:08:10.170000,VER,33,0 days 00:01:30.833000,16.0,2.0,,,0 days 00:00:28.638000,0 days 00:00:37.120000,0 days 00:00:25.075000,0 days 01:07:08.001000,0 days 01:07:45.121000,0 days 01:08:10.196000,294.0,265.0,251.0,298.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:06:39.337000,2021-07-17 15:56:19.169,1,1.0,False,,False,True
