Time,Category,Message,Status,Flag,Scope,Sector,RacingNumber,Lap
2021-09-11 12:30:43,Other,AIR TEMPERATURE 2 HOURS BEFORE SPRINT QUALIFYING = 27 DEGREES,,,,,,1
2021-09-11 13:41:49,Other,DRS DISABLED IN ZONE 1,,,,,,1
2021-09-11 13:41:50,Other,DRS DISABLED IN ZONE 2,,,,,,1
2021-09-11 13:50:21,Other,DRS ENABLED IN ZONE 2,,,,,,1
2021-09-11 13:50:38,Other,DRS ENABLED IN ZONE 1,,,,,,1
2021-09-11 13:50:44,Drs,DRS DISABLED,DISABLED,,,,,1
2021-09-11 14:00:01,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-09-11 14:05:01,Other,PIT EXIT CLOSED,,,,,,1
2021-09-11 14:15:22,Other,RISK OF RAIN FOR F1 SPRINT QUALIFYING SESSION IS 0%,,,,,,1
2021-09-11 14:27:07,Drs,DRS DISABLED,DISABLED,,,,,1
2021-09-11 14:33:26,Flag,GREEN LIGHT - PIT EXIT OPEN,,GREEN,Track,,,1
2021-09-11 14:33:54,Flag,DOUBLE YELLOW IN TRACK SECTOR 6,,DOUBLE YELLOW,Sector,6.0,,1
2021-09-11 14:34:04,SafetyCar,SAFETY CAR DEPLOYED,DEPLOYED,,,,,1
2021-09-11 14:36:24,Other,TURN 1 INCIDENT INVOLVING CAR 10 (GAS) NOTED ,,,,,,2
2021-09-11 14:39:19,Other,TURN 5 INCIDENT INVOLVING CAR 22 (TSU) NOTED,,,,,,3
2021-09-11 14:39:23,SafetyCar,SAFETY CAR IN THIS LAP,IN THIS LAP,,,,,3
2021-09-11 14:40:18,Flag,TRACK CLEAR,,CLEAR,Track,,,3
2021-09-11 14:40:18,Flag,CLEAR IN TRACK SECTOR 6,,CLEAR,Sector,6.0,,3
2021-09-11 14:41:34,Other,TURN 1 INCIDENT INVOLVING CAR 10 (GAS) NO INVESTIGATION NECESSARY ,,,,,,4
2021-09-11 14:41:42,Other,TURN 5 INCIDENT INVOLVING CAR 22 (TSU) NO INVESTIGATION NECESSARY,,,,,,4
2021-09-11 14:43:43,Drs,DRS ENABLED,ENABLED,,,,,6
2021-09-11 14:46:01,Other,CAR 4 (NOR) TIME 1:24.799 DELETED - TRACK LIMITS AT TURN 11,,,,,,8
2021-09-11 14:46:12,Other,CAR 4 (NOR) TIME 1:24.858 DELETED - TRACK LIMITS AT TURN 11,,,,,,8
2021-09-11 14:49:02,Other,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 5 (VET) NOTED,,,,,,10
2021-09-11 14:52:05,Other,CORRECTION - TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) NOTED,,,,,,12
2021-09-11 14:55:34,Other,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) UNDER INVESTIGATION,,,,,,14
2021-09-11 14:59:35,Other,TURN 1 INCIDENT INVOLVING CARS 11 (PER) AND 18 (STR) - NO FURTHER ACTION,,,,,,17
