Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:14.354000,27.7,38.7,994.2,False,43.7,192,0.1
0 days 00:01:14.352000,27.7,38.3,994.2,False,43.5,192,0.3
0 days 00:02:14.351000,27.8,38.1,994.1,False,43.7,170,0.4
0 days 00:03:14.367000,27.8,38.2,994.1,False,43.8,151,0.4
0 days 00:04:14.366000,27.8,38.1,994.2,False,44.0,152,0.6
0 days 00:05:14.383000,27.8,38.7,994.1,False,44.2,151,0.4
0 days 00:06:14.396000,27.8,38.3,994.2,False,44.2,166,0.2
0 days 00:07:14.421000,27.9,38.0,994.2,False,44.2,155,0.2
0 days 00:08:14.413000,27.9,38.5,994.2,False,44.1,152,0.6
0 days 00:09:14.424000,28.0,39.1,994.1,False,43.8,327,0.1
0 days 00:10:14.413000,27.8,39.1,994.1,False,43.5,270,0.1
0 days 00:11:14.422000,27.8,39.4,994.1,False,43.1,0,0.0
0 days 00:12:14.434000,27.9,38.7,994.2,False,43.0,183,0.0
0 days 00:13:14.437000,27.9,38.0,994.1,False,43.2,186,0.3
0 days 00:14:14.443000,28.1,37.4,994.1,False,43.8,194,0.2
0 days 00:15:14.461000,28.2,36.9,994.1,False,44.1,186,0.1
0 days 00:16:14.466000,28.3,36.4,994.1,False,44.0,0,0.3
0 days 00:17:14.475000,28.3,36.8,994.1,False,43.4,162,0.2
0 days 00:18:14.494000,28.4,36.9,993.9,False,43.4,165,0.5
0 days 00:19:14.512000,28.3,36.8,994.1,False,43.7,137,0.4
0 days 00:20:14.510000,28.3,36.6,994.1,False,43.7,189,0.5
0 days 00:21:14.525000,28.2,36.9,994.0,False,43.7,192,0.4
0 days 00:22:14.540000,28.3,36.8,994.0,False,43.3,201,0.6
0 days 00:23:14.540000,28.2,36.8,994.1,False,43.1,155,0.4
0 days 00:24:14.556000,28.2,36.9,994.0,False,43.1,169,0.4
0 days 00:25:14.572000,28.3,36.9,994.0,False,43.2,187,0.4
0 days 00:26:14.579000,28.2,36.8,994.0,False,43.2,209,0.3
0 days 00:27:14.584000,28.2,36.9,993.9,False,43.1,200,0.5
0 days 00:28:14.587000,28.2,37.6,994.0,False,43.1,227,0.2
0 days 00:29:14.586000,28.2,37.4,993.9,False,42.7,195,0.0
0 days 00:30:14.584000,28.2,36.6,994.0,False,42.7,196,0.2
0 days 00:31:14.588000,28.2,36.2,993.9,False,43.0,165,0.4
0 days 00:32:14.604000,28.2,36.1,994.0,False,43.1,157,0.4
0 days 00:33:14.605000,28.3,36.6,993.9,False,43.2,145,0.5
0 days 00:34:14.627000,28.2,37.2,993.9,False,43.2,153,0.7
0 days 00:35:14.631000,28.2,37.6,993.9,False,43.2,223,0.6
0 days 00:36:14.641000,28.1,37.7,993.8,False,42.9,166,0.3
0 days 00:37:14.635000,28.0,37.9,993.9,False,42.9,175,0.3
0 days 00:38:14.633000,28.0,37.7,993.9,False,43.2,161,0.2
0 days 00:39:14.632000,28.1,37.4,993.9,False,43.3,158,0.4
0 days 00:40:14.634000,28.1,37.3,993.9,False,43.2,165,0.3
0 days 00:41:14.642000,28.2,37.0,993.8,False,43.2,191,0.3
0 days 00:42:14.632000,28.3,36.8,993.9,False,43.2,173,0.2
0 days 00:43:14.634000,28.3,36.6,993.9,False,43.1,147,0.4
0 days 00:44:14.651000,28.3,36.9,993.9,False,42.7,231,0.4
0 days 00:45:14.663000,28.2,37.0,993.9,False,42.7,156,0.1
0 days 00:46:14.667000,28.3,36.9,993.9,False,42.7,155,0.4
0 days 00:47:14.668000,28.4,36.5,993.9,False,42.8,133,0.3
0 days 00:48:14.664000,28.4,37.2,993.8,False,42.4,297,0.1
0 days 00:49:14.673000,28.2,36.3,993.9,False,42.3,178,0.4
0 days 00:50:14.695000,28.3,35.9,993.9,False,42.0,165,0.3
0 days 00:51:14.710000,28.3,36.0,993.9,False,41.8,104,0.2
0 days 00:52:14.713000,28.3,36.5,993.9,False,41.8,305,0.1
0 days 00:53:14.718000,28.2,36.5,994.0,False,41.7,158,0.2
0 days 00:54:14.720000,28.2,36.1,994.0,False,41.7,188,0.3
0 days 00:55:14.719000,28.2,35.0,993.9,False,42.0,188,0.4
0 days 00:56:14.713000,28.2,34.8,993.8,False,42.2,172,0.4
0 days 00:57:14.711000,28.3,34.5,993.9,False,41.9,157,0.5
0 days 00:58:14.720000,28.6,35.1,993.9,False,41.9,136,0.5
0 days 00:59:14.747000,28.6,35.4,993.8,False,41.8,153,0.9
0 days 01:00:14.770000,28.5,36.3,993.8,False,41.8,183,0.5
0 days 01:01:14.775000,28.4,36.5,993.9,False,41.5,173,0.4
0 days 01:02:14.780000,28.3,36.5,993.9,False,41.4,166,0.3
0 days 01:03:14.781000,28.3,36.1,994.0,False,41.4,183,0.4
0 days 01:04:14.791000,28.3,35.8,993.9,False,41.4,149,0.4
0 days 01:05:14.792000,28.3,36.2,993.9,False,41.3,171,0.4
0 days 01:06:14.806000,28.4,36.0,993.8,False,41.3,170,0.5
0 days 01:07:14.813000,28.4,35.6,993.9,False,41.2,186,0.5
0 days 01:08:14.821000,28.4,35.3,993.8,False,41.4,186,0.6
0 days 01:09:14.840000,28.4,35.4,993.8,False,41.2,165,0.5
0 days 01:10:14.852000,28.4,36.1,993.8,False,40.9,170,0.5
0 days 01:11:14.851000,28.2,35.8,993.8,False,40.9,166,0.5
0 days 01:12:14.879000,28.2,36.3,993.9,False,40.8,172,0.4
0 days 01:13:14.882000,28.2,36.4,993.9,False,40.7,193,0.4
0 days 01:14:14.899000,28.2,36.5,993.8,False,40.8,170,0.5
0 days 01:15:14.913000,28.3,36.3,993.9,False,40.7,147,0.3
