Time,Status,Message
0 days 00:00:00,2,Yellow
0 days 00:00:01.078000,1,AllClear
0 days 00:00:14.047000,2,Yellow
0 days 00:02:56.795000,1,AllClear
0 days 00:03:05.467000,2,Yellow
0 days 00:04:26.669000,1,AllClear
0 days 00:04:31.794000,2,Yellow
0 days 00:05:01.559000,1,AllClear
0 days 00:05:51.558000,2,Yellow
0 days 00:06:00.480000,1,AllClear
0 days 00:06:36.292000,2,Yellow
0 days 00:06:41.980000,1,AllClear
0 days 00:06:47.886000,2,Yellow
0 days 00:07:01.355000,1,AllClear
0 days 00:07:08.979000,2,Yellow
0 days 00:07:17.182000,1,AllClear
0 days 00:12:59.382000,2,Yellow
0 days 00:13:20.100000,1,AllClear
0 days 00:22:57.172000,2,Yellow
0 days 00:23:04.688000,1,AllClear
0 days 00:23:06.797000,2,Yellow
0 days 00:23:11.188000,1,AllClear
0 days 00:27:12.544000,2,Yellow
0 days 00:29:07.090000,1,AllClear
0 days 00:52:46.371000,2,Yellow
0 days 00:52:47.793000,1,AllClear
0 days 00:55:40.166000,2,Yellow
0 days 00:56:04.884000,1,AllClear
0 days 00:59:41.382000,2,Yellow
0 days 01:11:43.999000,1,AllClear
0 days 01:36:48.185000,2,Yellow
0 days 01:37:04.607000,4,SCDeployed
0 days 01:43:18.025000,1,AllClear
0 days 01:43:38.415000,2,Yellow
0 days 01:43:50.587000,1,AllClear
0 days 01:47:17.788000,2,Yellow
0 days 01:47:24.256000,1,AllClear
0 days 01:55:58.829000,2,Yellow
